WD11CD,WD11CDO,WD11NM,WD11NMW,Population_MYE2015_AllPeople_All_Ages,Population_MYE2015_AllPeople_Age_0_16_PercTotalPopulation,area,pop_density
E05000819,00BUFY,Altrincham,NA,12233,21.5,3035973.18355651,40.2935047854065
E05000820,00BUFZ,Ashton upon Mersey,NA,9958,20.1,2302644.87443527,43.2459217248697
E05000821,00BUGA,Bowdon,NA,9405,20.6,23506548.8082491,4.00101268660057
E05000822,00BUGB,Broadheath,NA,13649,23.6,4179226.88854993,32.6591505175154
E05000823,00BUGC,Brooklands,NA,10679,21.5,2229231.50396539,47.9044010503352
E05000824,00BUGD,Bucklow-St Martins,NA,10479,26.3,13086173.1907863,8.0076886093622
E05000825,00BUGE,Clifford,NA,12091,25.3,1860987.07622059,64.9708971894376
E05000826,00BUGF,Davyhulme East,NA,9670,20.3,4188009.1003007,23.0897301519848
E05000827,00BUGG,Davyhulme West,NA,10066,19.9,4365854.73558307,23.0561954294058
E05000828,00BUGH,Flixton,NA,10859,19,4022194.76099037,26.9976981356473
E05000829,00BUGJ,Gorse Hill,NA,12241,23.8,8843521.71955994,13.8417707200578
E05000830,00BUGK,Hale Barns,NA,9983,21.9,8376729.48504405,11.9175389605499
E05000831,00BUGL,Hale Central,NA,10700,24,2605789.95225657,41.0624040926015
E05000832,00BUGM,Longford,NA,12310,23.1,3482117.08934957,35.3520564763645
E05000833,00BUGN,Priory,NA,11274,19.6,3236108.24597669,34.8381424323999
E05000834,00BUGP,St Mary's,NA,11874,21.6,2671680.1965574,44.443942112908
E05000835,00BUGQ,Sale Moor,NA,10691,21.8,2839423.49026423,37.6520094190146
E05000836,00BUGR,Stretford,NA,11476,22,3226576.22427194,35.5671126368307
E05000837,00BUGS,Timperley,NA,11255,21.7,2069559.9083156,54.383542871974
E05000838,00BUGT,Urmston,NA,11482,19.5,3715770.56777545,30.9007237948871
E05000839,00BUGU,Village,NA,10913,22.7,2182564.17377613,50.0008207370098